      1024 22.26 16.79
      2048 19.32 14.52
      4096 24.09  8.38
      8192 27.40  6.81
     16384 23.44  6.26
     32768  7.82  5.86
     65536  7.66  5.42
    131072  7.75  5.29
    262144  6.98  5.30
    524288  6.72  5.29
   1048576  6.50  5.29
   2097152  6.36  5.29
   4194304  6.28  5.29
   8388608  6.29  5.29
  16777216  6.25  5.28
  33554432  5.29  4.80
  67108864  3.75  3.69
 134217728  3.59  3.61
 268435456  3.58  3.59
 536870912  3.58  3.58
1073741824  3.13  3.58
